date;transaction_id;product_name;quantity;category;;;;;
02/01/24;240102001;Tomat 1kg;1;Plastik;;;;;
02/01/24;240102001;Sarung tangan;1;Lain-lain;;;;;
02/01/24;240102001;Tictas 1/2kg;5;Plastik;;;;;
02/01/24;240102001;Milenium 55;2;Kresek;;;;;
02/01/24;240102002;OPP 16x16;1;OPP;;;;;
02/01/24;240102003;Plastik ultra blueprint;4;Lain-lain;;;;;
02/01/24;240102004;Puma 1/2kg;1;Plastik;;;;;
02/01/24;240102004;Gading 40P;1;Kresek;;;;;
02/01/24;240102004;Citrun hs ;10;Lain-lain;;;;;
02/01/24;240102004;Raja 24W;1;Kresek;;;;;
02/01/24;240102004;Citrun jeruk;1;Plastik;;;;;
02/01/24;240102004;Karet bebek;1;Lain-lain;;;;;
02/01/24;240102005;Jeruk 1/2kg;1;Plastik;;;;;
02/01/24;240102005;Santan kara;1;Lain-lain;;;;;
02/01/24;240102006;Nutrijel Leci;3;Lain-lain;;;;;
02/01/24;240102006;Tomat 1/2kg;1;Plastik;;;;;
02/01/24;240102006;Semangka 24;1;Kresek;;;;;
02/01/24;240102007;Semangka 15;2;Kresek;;;;;
02/01/24;240102007;Sedotan garis;2;Sedotan;;;;;
02/01/24;240102007;Kertas gajah;1;Lain-lain;;;;;
02/01/24;240102007;Jeruk 1/2kg;5;Plastik;;;;;
02/01/24;240102008;Rafia warna;2;Lain-lain;;;;;
02/01/24;240102008;Kamboja 15;5;Kresek;;;;;
02/01/24;240102008;Dozer 28;3;Kresek;;;;;
02/01/24;240102008;Jeruk 1/2kg;2;Plastik;;;;;
03/01/24;240103001;Gelas Hok 12oz;1;Gelas;;;;;
03/01/24;240103001;Gelas Hok 16oz;1;Gelas;;;;;
03/01/24;240103001;Tictas 1kg;1;Plastik;;;;;
03/01/24;240103002;Dozer 15;1;Kresek;;;;;
03/01/24;240103003;Klip 15;1;Klip;;;;;
03/01/24;240103003;HD los 15H;1;Lain-lain;;;;;
03/01/24;240103004;Sedotan putih tekuk;1;Sedotan;;;;;
03/01/24;240103004;Tusuk gigi;1;Lain-lain;;;;;
03/01/24;240103005;Palapa 40H;3;Kresek;;;;;
03/01/24;240103005;Kamboja 15;2;Kresek;;;;;
03/01/24;240103005;Kertas gajah;1;Lain-lain;;;;;
04/01/24;240104001;Piring tart;4;Lain-lain;;;;;
04/01/24;240104001;Garpu tart;1;Lain-lain;;;;;
04/01/24;240104001;Nemo 15;1;Kresek;;;;;
04/01/24;240104002;HD los 15H;1;Lain-lain;;;;;
04/01/24;240104002;Gading 28P;1;Kresek;;;;;
04/01/24;240104002;Tomat 2kg;1;Plastik;;;;;
04/01/24;240104002;Foam bubur;1;Lain-lain;;;;;
04/01/24;240104003;HD los 15W;2;Lain-lain;;;;;
04/01/24;240104004;HD los 28W;3;Lain-lain;;;;;
04/01/24;240104005;Gelas Merak 22oz;2;Gelas;;;;;
04/01/24;240104006;Semangka 24;1;Kresek;;;;;
04/01/24;240104007;Raja 24W;1;Kresek;;;;;
04/01/24;240104008;Rice paper;1;Lain-lain;;;;;
04/01/24;240104009;Sambal;5;Lain-lain;;;;;
04/01/24;240104010;Foam bubur;5;Lain-lain;;;;;
04/01/24;240104011;Kamboja 21;1;Kresek;;;;;
04/01/24;240104012;Gelas Hok 16oz;1;Gelas;;;;;
04/01/24;240104013;Gelas Hok 12oz;1;Gelas;;;;;
04/01/24;240104014;Tutup gelas;1;Gelas;;;;;
