date;product_name;sum_sales
02/01/24;Dozer 15;1
03/01/24;Dozer 15;1
04/01/24;Dozer 15;1
05/01/24;Dozer 15;1
06/01/24;Dozer 15;5
07/01/24;Dozer 15;2
08/01/24;Dozer 15;1
09/01/24;Dozer 15;2
10/01/24;Dozer 15;2
11/01/24;Dozer 15;1
12/01/24;Dozer 15;1
13/01/24;Dozer 15;2
14/01/24;Dozer 15;1
15/01/24;Dozer 15;2
16/01/24;Dozer 15;1
17/01/24;Dozer 15;4
18/01/24;Dozer 15;3
19/01/24;Dozer 15;1
20/01/24;Dozer 15;1
21/01/24;Dozer 15;2
22/01/24;Dozer 15;1
23/01/24;Dozer 15;1
24/01/24;Dozer 15;2
25/01/24;Dozer 15;1
26/01/24;Dozer 15;1
27/01/24;Dozer 15;2
28/01/24;Dozer 15;1
29/01/24;Dozer 15;2
30/01/24;Dozer 15;4
31/01/24;Dozer 15;3
01/02/24;Dozer 15;3
02/02/24;Dozer 15;1
03/02/24;Dozer 15;1
04/02/24;Dozer 15;1
05/02/24;Dozer 15;1
06/02/24;Dozer 15;4
07/02/24;Dozer 15;1
08/02/24;Dozer 15;1
09/02/24;Dozer 15;3
10/02/24;Dozer 15;1
11/02/24;Dozer 15;2
12/02/24;Dozer 15;3
13/02/24;Dozer 15;2
14/02/24;Dozer 15;1
15/02/24;Dozer 15;2
16/02/24;Dozer 15;1
17/02/24;Dozer 15;2
18/02/24;Dozer 15;1
19/02/24;Dozer 15;1
20/02/24;Dozer 15;2
21/02/24;Dozer 15;4
22/02/24;Dozer 15;1
23/02/24;Dozer 15;1
24/02/24;Dozer 15;1
25/02/24;Dozer 15;1
26/02/24;Dozer 15;2
27/02/24;Dozer 15;1
28/02/24;Dozer 15;1
29/02/24;Dozer 15;2
01/03/24;Dozer 15;1
02/03/24;Dozer 15;1
03/03/24;Dozer 15;1
04/03/24;Dozer 15;2
05/03/24;Dozer 15;1
06/03/24;Dozer 15;1
07/03/24;Dozer 15;1
08/03/24;Dozer 15;1
09/03/24;Dozer 15;3
10/03/24;Dozer 15;8
11/03/24;Dozer 15;1
12/03/24;Dozer 15;1
13/03/24;Dozer 15;2
14/03/24;Dozer 15;2
15/03/24;Dozer 15;3
16/03/24;Dozer 15;2
17/03/24;Dozer 15;2
18/03/24;Dozer 15;1
19/03/24;Dozer 15;2
20/03/24;Dozer 15;1
21/03/24;Dozer 15;3
22/03/24;Dozer 15;3
23/03/24;Dozer 15;1
24/03/24;Dozer 15;2
25/03/24;Dozer 15;1
26/03/24;Dozer 15;1
27/03/24;Dozer 15;1
28/03/24;Dozer 15;1
29/03/24;Dozer 15;1
30/03/24;Dozer 15;2
31/03/24;Dozer 15;2
01/04/24;Dozer 15;3
02/04/24;Dozer 15;2
03/04/24;Dozer 15;4
04/04/24;Dozer 15;1
05/04/24;Dozer 15;2
06/04/24;Dozer 15;3
07/04/24;Dozer 15;1
08/04/24;Dozer 15;4
09/04/24;Dozer 15;1
10/04/24;Dozer 15;1
11/04/24;Dozer 15;1
12/04/24;Dozer 15;1
13/04/24;Dozer 15;1
14/04/24;Dozer 15;1
15/04/24;Dozer 15;1
16/04/24;Dozer 15;3
17/04/24;Dozer 15;4
18/04/24;Dozer 15;6
19/04/24;Dozer 15;2
20/04/24;Dozer 15;2
21/04/24;Dozer 15;1
22/04/24;Dozer 15;2
23/04/24;Dozer 15;1
24/04/24;Dozer 15;1
25/04/24;Dozer 15;1
26/04/24;Dozer 15;1
27/04/24;Dozer 15;2
28/04/24;Dozer 15;3
29/04/24;Dozer 15;1
30/04/24;Dozer 15;3
01/05/24;Dozer 15;3
02/05/24;Dozer 15;1
03/05/24;Dozer 15;3
04/05/24;Dozer 15;2
05/05/24;Dozer 15;3
06/05/24;Dozer 15;2
07/05/24;Dozer 15;2
08/05/24;Dozer 15;1
09/05/24;Dozer 15;1
10/05/24;Dozer 15;4
11/05/24;Dozer 15;3
12/05/24;Dozer 15;1
13/05/24;Dozer 15;2
14/05/24;Dozer 15;1
15/05/24;Dozer 15;1
16/05/24;Dozer 15;1
17/05/24;Dozer 15;1
18/05/24;Dozer 15;2
19/05/24;Dozer 15;1
20/05/24;Dozer 15;2
21/05/24;Dozer 15;2
22/05/24;Dozer 15;2
23/05/24;Dozer 15;2
24/05/24;Dozer 15;1
25/05/24;Dozer 15;1
26/05/24;Dozer 15;1
27/05/24;Dozer 15;1
28/05/24;Dozer 15;7
29/05/24;Dozer 15;1
30/05/24;Dozer 15;1
31/05/24;Dozer 15;4
01/06/24;Dozer 15;3
02/06/24;Dozer 15;1
03/06/24;Dozer 15;2
04/06/24;Dozer 15;1
05/06/24;Dozer 15;1
06/06/24;Dozer 15;4
07/06/24;Dozer 15;1
08/06/24;Dozer 15;1
09/06/24;Dozer 15;2
10/06/24;Dozer 15;3
11/06/24;Dozer 15;1
12/06/24;Dozer 15;1
13/06/24;Dozer 15;1
14/06/24;Dozer 15;1
15/06/24;Dozer 15;2
16/06/24;Dozer 15;2
17/06/24;Dozer 15;1
18/06/24;Dozer 15;4
19/06/24;Dozer 15;3
20/06/24;Dozer 15;1
21/06/24;Dozer 15;2
22/06/24;Dozer 15;1
23/06/24;Dozer 15;1
24/06/24;Dozer 15;1
