date;product_name;sum_sales
02/01/24;Dozer 15;0
03/01/24;Dozer 15;1
04/01/24;Dozer 15;0
05/01/24;Dozer 15;1
06/01/24;Dozer 15;5
07/01/24;Dozer 15;2
08/01/24;Dozer 15;1
09/01/24;Dozer 15;2
10/01/24;Dozer 15;2
11/01/24;Dozer 15;0
12/01/24;Dozer 15;0
13/01/24;Dozer 15;2
14/01/24;Dozer 15;0
15/01/24;Dozer 15;2
16/01/24;Dozer 15;0
17/01/24;Dozer 15;4
18/01/24;Dozer 15;3
19/01/24;Dozer 15;1
20/01/24;Dozer 15;0
21/01/24;Dozer 15;2
22/01/24;Dozer 15;1
23/01/24;Dozer 15;1
24/01/24;Dozer 15;2
25/01/24;Dozer 15;1
26/01/24;Dozer 15;1
27/01/24;Dozer 15;2
28/01/24;Dozer 15;0
29/01/24;Dozer 15;2
30/01/24;Dozer 15;4
31/01/24;Dozer 15;3
01/02/24;Dozer 15;3
02/02/24;Dozer 15;0
03/02/24;Dozer 15;0
04/02/24;Dozer 15;0
05/02/24;Dozer 15;1
06/02/24;Dozer 15;4
07/02/24;Dozer 15;0
08/02/24;Dozer 15;0
09/02/24;Dozer 15;3
10/02/24;Dozer 15;0
11/02/24;Dozer 15;2
12/02/24;Dozer 15;3
13/02/24;Dozer 15;2
14/02/24;Dozer 15;0
15/02/24;Dozer 15;2
16/02/24;Dozer 15;1
17/02/24;Dozer 15;2
18/02/24;Dozer 15;0
19/02/24;Dozer 15;0
20/02/24;Dozer 15;2
21/02/24;Dozer 15;4
22/02/24;Dozer 15;1
23/02/24;Dozer 15;0
24/02/24;Dozer 15;0
25/02/24;Dozer 15;0
26/02/24;Dozer 15;2
27/02/24;Dozer 15;1
28/02/24;Dozer 15;0
29/02/24;Dozer 15;2
01/03/24;Dozer 15;0
02/03/24;Dozer 15;1
03/03/24;Dozer 15;0
04/03/24;Dozer 15;2
05/03/24;Dozer 15;0
06/03/24;Dozer 15;0
07/03/24;Dozer 15;0
08/03/24;Dozer 15;1
09/03/24;Dozer 15;3
10/03/24;Dozer 15;8
11/03/24;Dozer 15;0
12/03/24;Dozer 15;1
13/03/24;Dozer 15;2
14/03/24;Dozer 15;2
15/03/24;Dozer 15;3
16/03/24;Dozer 15;2
17/03/24;Dozer 15;2
18/03/24;Dozer 15;1
19/03/24;Dozer 15;2
20/03/24;Dozer 15;1
21/03/24;Dozer 15;3
22/03/24;Dozer 15;3
23/03/24;Dozer 15;0
24/03/24;Dozer 15;2
25/03/24;Dozer 15;0
26/03/24;Dozer 15;0
27/03/24;Dozer 15;1
28/03/24;Dozer 15;0
29/03/24;Dozer 15;0
30/03/24;Dozer 15;2
31/03/24;Dozer 15;2
01/04/24;Dozer 15;3
02/04/24;Dozer 15;2
03/04/24;Dozer 15;4
04/04/24;Dozer 15;0
05/04/24;Dozer 15;2
06/04/24;Dozer 15;3
07/04/24;Dozer 15;0
08/04/24;Dozer 15;4
09/04/24;Dozer 15;1
10/04/24;Dozer 15;0
11/04/24;Dozer 15;0
12/04/24;Dozer 15;0
13/04/24;Dozer 15;0
14/04/24;Dozer 15;0
15/04/24;Dozer 15;0
16/04/24;Dozer 15;3
17/04/24;Dozer 15;4
18/04/24;Dozer 15;6
19/04/24;Dozer 15;2
20/04/24;Dozer 15;2
21/04/24;Dozer 15;1
22/04/24;Dozer 15;2
23/04/24;Dozer 15;0
24/04/24;Dozer 15;0
25/04/24;Dozer 15;0
26/04/24;Dozer 15;1
27/04/24;Dozer 15;2
28/04/24;Dozer 15;3
29/04/24;Dozer 15;0
30/04/24;Dozer 15;3
01/05/24;Dozer 15;3
02/05/24;Dozer 15;0
03/05/24;Dozer 15;3
04/05/24;Dozer 15;2
05/05/24;Dozer 15;3
