date;product_name;sum_sales
02/01/24;Jeruk 1/2kg;8
03/01/24;Jeruk 1/2kg;15
04/01/24;Jeruk 1/2kg;13
05/01/24;Jeruk 1/2kg;9
06/01/24;Jeruk 1/2kg;7
07/01/24;Jeruk 1/2kg;10
08/01/24;Jeruk 1/2kg;3
09/01/24;Jeruk 1/2kg;4
10/01/24;Jeruk 1/2kg;3
11/01/24;Jeruk 1/2kg;1
12/01/24;Jeruk 1/2kg;2
13/01/24;Jeruk 1/2kg;6
14/01/24;Jeruk 1/2kg;3
15/01/24;Jeruk 1/2kg;5
16/01/24;Jeruk 1/2kg;7
17/01/24;Jeruk 1/2kg;12
18/01/24;Jeruk 1/2kg;1
19/01/24;Jeruk 1/2kg;5
20/01/24;Jeruk 1/2kg;3
21/01/24;Jeruk 1/2kg;5
22/01/24;Jeruk 1/2kg;7
23/01/24;Jeruk 1/2kg;5
24/01/24;Jeruk 1/2kg;8
25/01/24;Jeruk 1/2kg;4
26/01/24;Jeruk 1/2kg;6
27/01/24;Jeruk 1/2kg;10
28/01/24;Jeruk 1/2kg;7
29/01/24;Jeruk 1/2kg;2
30/01/24;Jeruk 1/2kg;15
31/01/24;Jeruk 1/2kg;9
01/02/24;Jeruk 1/2kg;3
02/02/24;Jeruk 1/2kg;13
03/02/24;Jeruk 1/2kg;10
04/02/24;Jeruk 1/2kg;6
05/02/24;Jeruk 1/2kg;2
06/02/24;Jeruk 1/2kg;8
07/02/24;Jeruk 1/2kg;3
08/02/24;Jeruk 1/2kg;15
09/02/24;Jeruk 1/2kg;4
10/02/24;Jeruk 1/2kg;11
11/02/24;Jeruk 1/2kg;7
12/02/24;Jeruk 1/2kg;3
13/02/24;Jeruk 1/2kg;10
14/02/24;Jeruk 1/2kg;11
15/02/24;Jeruk 1/2kg;2
16/02/24;Jeruk 1/2kg;6
17/02/24;Jeruk 1/2kg;9
18/02/24;Jeruk 1/2kg;10
19/02/24;Jeruk 1/2kg;2
20/02/24;Jeruk 1/2kg;15
21/02/24;Jeruk 1/2kg;10
22/02/24;Jeruk 1/2kg;9
23/02/24;Jeruk 1/2kg;7
24/02/24;Jeruk 1/2kg;8
25/02/24;Jeruk 1/2kg;11
26/02/24;Jeruk 1/2kg;10
27/02/24;Jeruk 1/2kg;3
28/02/24;Jeruk 1/2kg;7
29/02/24;Jeruk 1/2kg;10
01/03/24;Jeruk 1/2kg;7
02/03/24;Jeruk 1/2kg;8
03/03/24;Jeruk 1/2kg;5
04/03/24;Jeruk 1/2kg;9
05/03/24;Jeruk 1/2kg;8
06/03/24;Jeruk 1/2kg;12
07/03/24;Jeruk 1/2kg;7
08/03/24;Jeruk 1/2kg;4
09/03/24;Jeruk 1/2kg;6
10/03/24;Jeruk 1/2kg;7
11/03/24;Jeruk 1/2kg;8
12/03/24;Jeruk 1/2kg;5
13/03/24;Jeruk 1/2kg;4
14/03/24;Jeruk 1/2kg;3
15/03/24;Jeruk 1/2kg;7
16/03/24;Jeruk 1/2kg;4
17/03/24;Jeruk 1/2kg;2
18/03/24;Jeruk 1/2kg;2
19/03/24;Jeruk 1/2kg;7
20/03/24;Jeruk 1/2kg;5
21/03/24;Jeruk 1/2kg;8
22/03/24;Jeruk 1/2kg;6
23/03/24;Jeruk 1/2kg;11
24/03/24;Jeruk 1/2kg;3
25/03/24;Jeruk 1/2kg;3
26/03/24;Jeruk 1/2kg;11
27/03/24;Jeruk 1/2kg;3
28/03/24;Jeruk 1/2kg;7
29/03/24;Jeruk 1/2kg;5
30/03/24;Jeruk 1/2kg;11
31/03/24;Jeruk 1/2kg;2
01/04/24;Jeruk 1/2kg;7
02/04/24;Jeruk 1/2kg;13
03/04/24;Jeruk 1/2kg;9
04/04/24;Jeruk 1/2kg;6
05/04/24;Jeruk 1/2kg;9
06/04/24;Jeruk 1/2kg;13
07/04/24;Jeruk 1/2kg;4
08/04/24;Jeruk 1/2kg;10
09/04/24;Jeruk 1/2kg;2
10/04/24;Jeruk 1/2kg;6
11/04/24;Jeruk 1/2kg;15
12/04/24;Jeruk 1/2kg;15
13/04/24;Jeruk 1/2kg;9
14/04/24;Jeruk 1/2kg;12
15/04/24;Jeruk 1/2kg;9
16/04/24;Jeruk 1/2kg;11
17/04/24;Jeruk 1/2kg;10
18/04/24;Jeruk 1/2kg;7
19/04/24;Jeruk 1/2kg;9
20/04/24;Jeruk 1/2kg;5
21/04/24;Jeruk 1/2kg;2
22/04/24;Jeruk 1/2kg;7
23/04/24;Jeruk 1/2kg;7
24/04/24;Jeruk 1/2kg;3
25/04/24;Jeruk 1/2kg;8
26/04/24;Jeruk 1/2kg;4
27/04/24;Jeruk 1/2kg;4
28/04/24;Jeruk 1/2kg;3
29/04/24;Jeruk 1/2kg;4
30/04/24;Jeruk 1/2kg;6
01/05/24;Jeruk 1/2kg;15
02/05/24;Jeruk 1/2kg;11
03/05/24;Jeruk 1/2kg;2
04/05/24;Jeruk 1/2kg;8
05/05/24;Jeruk 1/2kg;7
06/05/24;Jeruk 1/2kg;2
07/05/24;Jeruk 1/2kg;9
08/05/24;Jeruk 1/2kg;3
09/05/24;Jeruk 1/2kg;16
10/05/24;Jeruk 1/2kg;3
11/05/24;Jeruk 1/2kg;5
12/05/24;Jeruk 1/2kg;4
13/05/24;Jeruk 1/2kg;2
14/05/24;Jeruk 1/2kg;10
15/05/24;Jeruk 1/2kg;8
16/05/24;Jeruk 1/2kg;3
17/05/24;Jeruk 1/2kg;11
18/05/24;Jeruk 1/2kg;6
19/05/24;Jeruk 1/2kg;8
20/05/24;Jeruk 1/2kg;5
21/05/24;Jeruk 1/2kg;9
22/05/24;Jeruk 1/2kg;5
23/05/24;Jeruk 1/2kg;6
24/05/24;Jeruk 1/2kg;12
25/05/24;Jeruk 1/2kg;16
26/05/24;Jeruk 1/2kg;11
27/05/24;Jeruk 1/2kg;8
28/05/24;Jeruk 1/2kg;13
29/05/24;Jeruk 1/2kg;10
30/05/24;Jeruk 1/2kg;11
31/05/24;Jeruk 1/2kg;2
01/06/24;Jeruk 1/2kg;9
02/06/24;Jeruk 1/2kg;3
03/06/24;Jeruk 1/2kg;10
04/06/24;Jeruk 1/2kg;14
05/06/24;Jeruk 1/2kg;8
06/06/24;Jeruk 1/2kg;7
07/06/24;Jeruk 1/2kg;5
08/06/24;Jeruk 1/2kg;13
09/06/24;Jeruk 1/2kg;12
10/06/24;Jeruk 1/2kg;8
11/06/24;Jeruk 1/2kg;9
12/06/24;Jeruk 1/2kg;5
13/06/24;Jeruk 1/2kg;7
14/06/24;Jeruk 1/2kg;6
15/06/24;Jeruk 1/2kg;5
16/06/24;Jeruk 1/2kg;5
17/06/24;Jeruk 1/2kg;10
18/06/24;Jeruk 1/2kg;2
19/06/24;Jeruk 1/2kg;2
20/06/24;Jeruk 1/2kg;5
21/06/24;Jeruk 1/2kg;2
22/06/24;Jeruk 1/2kg;17
23/06/24;Jeruk 1/2kg;5
24/06/24;Jeruk 1/2kg;5
25/06/24;Jeruk 1/2kg;4
26/06/24;Jeruk 1/2kg;2
27/06/24;Jeruk 1/2kg;5
28/06/24;Jeruk 1/2kg;5
29/06/24;Jeruk 1/2kg;16
30/06/24;Jeruk 1/2kg;4
01/07/24;Jeruk 1/2kg;6
02/07/24;Jeruk 1/2kg;9
03/07/24;Jeruk 1/2kg;7
04/07/24;Jeruk 1/2kg;5
05/07/24;Jeruk 1/2kg;4
06/07/24;Jeruk 1/2kg;5
07/07/24;Jeruk 1/2kg;9
08/07/24;Jeruk 1/2kg;9
09/07/24;Jeruk 1/2kg;5
10/07/24;Jeruk 1/2kg;7
11/07/24;Jeruk 1/2kg;8
12/07/24;Jeruk 1/2kg;6
13/07/24;Jeruk 1/2kg;5
14/07/24;Jeruk 1/2kg;12
15/07/24;Jeruk 1/2kg;6
16/07/24;Jeruk 1/2kg;7
17/07/24;Jeruk 1/2kg;11
18/07/24;Jeruk 1/2kg;5
19/07/24;Jeruk 1/2kg;15
20/07/24;Jeruk 1/2kg;16
21/07/24;Jeruk 1/2kg;8
22/07/24;Jeruk 1/2kg;8
23/07/24;Jeruk 1/2kg;6
24/07/24;Jeruk 1/2kg;10
25/07/24;Jeruk 1/2kg;5
26/07/24;Jeruk 1/2kg;2
27/07/24;Jeruk 1/2kg;6
28/07/24;Jeruk 1/2kg;11
29/07/24;Jeruk 1/2kg;5
30/07/24;Jeruk 1/2kg;14
31/07/24;Jeruk 1/2kg;7
01/08/24;Jeruk 1/2kg;6
02/08/24;Jeruk 1/2kg;5
03/08/24;Jeruk 1/2kg;3
04/08/24;Jeruk 1/2kg;5
05/08/24;Jeruk 1/2kg;8
06/08/24;Jeruk 1/2kg;5
07/08/24;Jeruk 1/2kg;6
08/08/24;Jeruk 1/2kg;11
09/08/24;Jeruk 1/2kg;10
10/08/24;Jeruk 1/2kg;4
11/08/24;Jeruk 1/2kg;11
12/08/24;Jeruk 1/2kg;2
13/08/24;Jeruk 1/2kg;3
14/08/24;Jeruk 1/2kg;7
15/08/24;Jeruk 1/2kg;9
16/08/24;Jeruk 1/2kg;12
17/08/24;Jeruk 1/2kg;5
18/08/24;Jeruk 1/2kg;7
19/08/24;Jeruk 1/2kg;6
20/08/24;Jeruk 1/2kg;5
21/08/24;Jeruk 1/2kg;13
22/08/24;Jeruk 1/2kg;5
23/08/24;Jeruk 1/2kg;2
24/08/24;Jeruk 1/2kg;8
25/08/24;Jeruk 1/2kg;5
26/08/24;Jeruk 1/2kg;13
27/08/24;Jeruk 1/2kg;12
28/08/24;Jeruk 1/2kg;6
29/08/24;Jeruk 1/2kg;2
30/08/24;Jeruk 1/2kg;4
31/08/24;Jeruk 1/2kg;7
01/09/24;Jeruk 1/2kg;10
02/09/24;Jeruk 1/2kg;7
03/09/24;Jeruk 1/2kg;5
04/09/24;Jeruk 1/2kg;3
05/09/24;Jeruk 1/2kg;15
06/09/24;Jeruk 1/2kg;9
07/09/24;Jeruk 1/2kg;5
08/09/24;Jeruk 1/2kg;7
09/09/24;Jeruk 1/2kg;15
10/09/24;Jeruk 1/2kg;6
11/09/24;Jeruk 1/2kg;5
12/09/24;Jeruk 1/2kg;3
13/09/24;Jeruk 1/2kg;6
14/09/24;Jeruk 1/2kg;7
15/09/24;Jeruk 1/2kg;7
16/09/24;Jeruk 1/2kg;2
17/09/24;Jeruk 1/2kg;9
18/09/24;Jeruk 1/2kg;10
19/09/24;Jeruk 1/2kg;2
20/09/24;Jeruk 1/2kg;12
21/09/24;Jeruk 1/2kg;5
22/09/24;Jeruk 1/2kg;2
23/09/24;Jeruk 1/2kg;6
24/09/24;Jeruk 1/2kg;2
25/09/24;Jeruk 1/2kg;14
26/09/24;Jeruk 1/2kg;3
27/09/24;Jeruk 1/2kg;2
28/09/24;Jeruk 1/2kg;2
29/09/24;Jeruk 1/2kg;3
30/09/24;Jeruk 1/2kg;16
01/10/24;Jeruk 1/2kg;7
02/10/24;Jeruk 1/2kg;10
03/10/24;Jeruk 1/2kg;6
04/10/24;Jeruk 1/2kg;7
05/10/24;Jeruk 1/2kg;6
06/10/24;Jeruk 1/2kg;15
07/10/24;Jeruk 1/2kg;9
08/10/24;Jeruk 1/2kg;5
09/10/24;Jeruk 1/2kg;3
10/10/24;Jeruk 1/2kg;8
11/10/24;Jeruk 1/2kg;4
12/10/24;Jeruk 1/2kg;5
13/10/24;Jeruk 1/2kg;12
14/10/24;Jeruk 1/2kg;15
15/10/24;Jeruk 1/2kg;18
16/10/24;Jeruk 1/2kg;10
17/10/24;Jeruk 1/2kg;13
18/10/24;Jeruk 1/2kg;16
19/10/24;Jeruk 1/2kg;16
20/10/24;Jeruk 1/2kg;6
21/10/24;Jeruk 1/2kg;11
22/10/24;Jeruk 1/2kg;11
23/10/24;Jeruk 1/2kg;7
24/10/24;Jeruk 1/2kg;3
25/10/24;Jeruk 1/2kg;7
26/10/24;Jeruk 1/2kg;6
27/10/24;Jeruk 1/2kg;2
28/10/24;Jeruk 1/2kg;4
29/10/24;Jeruk 1/2kg;5
30/10/24;Jeruk 1/2kg;11
31/10/24;Jeruk 1/2kg;3
01/11/24;Jeruk 1/2kg;4
02/11/24;Jeruk 1/2kg;13
03/11/24;Jeruk 1/2kg;10
04/11/24;Jeruk 1/2kg;16
05/11/24;Jeruk 1/2kg;17
