date;product_name;sum_sales
02/01/24;Kresek 2 gelas;0
03/01/24;Kresek 2 gelas;0
04/01/24;Kresek 2 gelas;0
05/01/24;Kresek 2 gelas;0
06/01/24;Kresek 2 gelas;0
07/01/24;Kresek 2 gelas;0
08/01/24;Kresek 2 gelas;0
09/01/24;Kresek 2 gelas;0
10/01/24;Kresek 2 gelas;0
11/01/24;Kresek 2 gelas;0
12/01/24;Kresek 2 gelas;0
13/01/24;Kresek 2 gelas;0
14/01/24;Kresek 2 gelas;0
15/01/24;Kresek 2 gelas;0
16/01/24;Kresek 2 gelas;0
17/01/24;Kresek 2 gelas;0
18/01/24;Kresek 2 gelas;0
19/01/24;Kresek 2 gelas;0
20/01/24;Kresek 2 gelas;0
21/01/24;Kresek 2 gelas;0
22/01/24;Kresek 2 gelas;0
23/01/24;Kresek 2 gelas;0
24/01/24;Kresek 2 gelas;0
25/01/24;Kresek 2 gelas;0
26/01/24;Kresek 2 gelas;0
27/01/24;Kresek 2 gelas;0
28/01/24;Kresek 2 gelas;0
29/01/24;Kresek 2 gelas;0
30/01/24;Kresek 2 gelas;0
31/01/24;Kresek 2 gelas;0
01/02/24;Kresek 2 gelas;0
02/02/24;Kresek 2 gelas;0
03/02/24;Kresek 2 gelas;0
04/02/24;Kresek 2 gelas;0
05/02/24;Kresek 2 gelas;0
06/02/24;Kresek 2 gelas;0
07/02/24;Kresek 2 gelas;0
08/02/24;Kresek 2 gelas;0
09/02/24;Kresek 2 gelas;0
10/02/24;Kresek 2 gelas;0
11/02/24;Kresek 2 gelas;0
12/02/24;Kresek 2 gelas;0
13/02/24;Kresek 2 gelas;0
14/02/24;Kresek 2 gelas;0
15/02/24;Kresek 2 gelas;0
16/02/24;Kresek 2 gelas;0
17/02/24;Kresek 2 gelas;0
18/02/24;Kresek 2 gelas;0
19/02/24;Kresek 2 gelas;0
20/02/24;Kresek 2 gelas;0
21/02/24;Kresek 2 gelas;0
22/02/24;Kresek 2 gelas;0
23/02/24;Kresek 2 gelas;0
24/02/24;Kresek 2 gelas;0
25/02/24;Kresek 2 gelas;0
26/02/24;Kresek 2 gelas;0
27/02/24;Kresek 2 gelas;0
28/02/24;Kresek 2 gelas;0
29/02/24;Kresek 2 gelas;0
01/03/24;Kresek 2 gelas;0
02/03/24;Kresek 2 gelas;0
03/03/24;Kresek 2 gelas;0
04/03/24;Kresek 2 gelas;0
05/03/24;Kresek 2 gelas;0
06/03/24;Kresek 2 gelas;0
07/03/24;Kresek 2 gelas;0
08/03/24;Kresek 2 gelas;0
09/03/24;Kresek 2 gelas;0
10/03/24;Kresek 2 gelas;0
11/03/24;Kresek 2 gelas;0
12/03/24;Kresek 2 gelas;0
13/03/24;Kresek 2 gelas;0
14/03/24;Kresek 2 gelas;1
15/03/24;Kresek 2 gelas;0
16/03/24;Kresek 2 gelas;0
17/03/24;Kresek 2 gelas;0
18/03/24;Kresek 2 gelas;0
19/03/24;Kresek 2 gelas;0
20/03/24;Kresek 2 gelas;0
21/03/24;Kresek 2 gelas;0
22/03/24;Kresek 2 gelas;0
23/03/24;Kresek 2 gelas;0
24/03/24;Kresek 2 gelas;1
25/03/24;Kresek 2 gelas;2
26/03/24;Kresek 2 gelas;0
27/03/24;Kresek 2 gelas;1
28/03/24;Kresek 2 gelas;0
29/03/24;Kresek 2 gelas;0
30/03/24;Kresek 2 gelas;0
31/03/24;Kresek 2 gelas;0
01/04/24;Kresek 2 gelas;2
02/04/24;Kresek 2 gelas;0
03/04/24;Kresek 2 gelas;5
04/04/24;Kresek 2 gelas;0
05/04/24;Kresek 2 gelas;0
06/04/24;Kresek 2 gelas;0
07/04/24;Kresek 2 gelas;0
08/04/24;Kresek 2 gelas;0
09/04/24;Kresek 2 gelas;0
10/04/24;Kresek 2 gelas;0
11/04/24;Kresek 2 gelas;0
12/04/24;Kresek 2 gelas;0
13/04/24;Kresek 2 gelas;0
14/04/24;Kresek 2 gelas;0
15/04/24;Kresek 2 gelas;0
16/04/24;Kresek 2 gelas;0
17/04/24;Kresek 2 gelas;0
18/04/24;Kresek 2 gelas;0
