date;product_name;sum_sales
02/01/24;Semangka 24;7
03/01/24;Semangka 24;14
04/01/24;Semangka 24;10
05/01/24;Semangka 24;4
06/01/24;Semangka 24;7
07/01/24;Semangka 24;7
08/01/24;Semangka 24;10
09/01/24;Semangka 24;12
10/01/24;Semangka 24;13
11/01/24;Semangka 24;12
12/01/24;Semangka 24;17
13/01/24;Semangka 24;8
14/01/24;Semangka 24;6
15/01/24;Semangka 24;7
16/01/24;Semangka 24;8
17/01/24;Semangka 24;14
18/01/24;Semangka 24;9
19/01/24;Semangka 24;10
20/01/24;Semangka 24;12
21/01/24;Semangka 24;6
22/01/24;Semangka 24;18
23/01/24;Semangka 24;16
24/01/24;Semangka 24;7
25/01/24;Semangka 24;13
26/01/24;Semangka 24;12
27/01/24;Semangka 24;14
28/01/24;Semangka 24;9
29/01/24;Semangka 24;9
30/01/24;Semangka 24;8
31/01/24;Semangka 24;4
01/02/24;Semangka 24;12
02/02/24;Semangka 24;8
03/02/24;Semangka 24;18
04/02/24;Semangka 24;8
05/02/24;Semangka 24;11
06/02/24;Semangka 24;16
07/02/24;Semangka 24;13
08/02/24;Semangka 24;6
09/02/24;Semangka 24;18
10/02/24;Semangka 24;16
11/02/24;Semangka 24;18
12/02/24;Semangka 24;8
13/02/24;Semangka 24;5
14/02/24;Semangka 24;18
15/02/24;Semangka 24;13
16/02/24;Semangka 24;17
17/02/24;Semangka 24;6
18/02/24;Semangka 24;17
19/02/24;Semangka 24;17
20/02/24;Semangka 24;6
21/02/24;Semangka 24;12
22/02/24;Semangka 24;10
23/02/24;Semangka 24;8
24/02/24;Semangka 24;11
25/02/24;Semangka 24;10
26/02/24;Semangka 24;9
27/02/24;Semangka 24;11
28/02/24;Semangka 24;8
29/02/24;Semangka 24;5
01/03/24;Semangka 24;15
02/03/24;Semangka 24;17
03/03/24;Semangka 24;8
04/03/24;Semangka 24;13
05/03/24;Semangka 24;14
06/03/24;Semangka 24;7
07/03/24;Semangka 24;18
08/03/24;Semangka 24;8
09/03/24;Semangka 24;14
10/03/24;Semangka 24;13
11/03/24;Semangka 24;15
12/03/24;Semangka 24;13
13/03/24;Semangka 24;8
14/03/24;Semangka 24;15
15/03/24;Semangka 24;11
16/03/24;Semangka 24;14
17/03/24;Semangka 24;8
18/03/24;Semangka 24;7
19/03/24;Semangka 24;13
20/03/24;Semangka 24;4
21/03/24;Semangka 24;6
22/03/24;Semangka 24;17
23/03/24;Semangka 24;13
24/03/24;Semangka 24;8
25/03/24;Semangka 24;15
26/03/24;Semangka 24;5
27/03/24;Semangka 24;4
28/03/24;Semangka 24;12
29/03/24;Semangka 24;8
30/03/24;Semangka 24;16
31/03/24;Semangka 24;16
01/04/24;Semangka 24;8
02/04/24;Semangka 24;5
03/04/24;Semangka 24;11
04/04/24;Semangka 24;4
05/04/24;Semangka 24;15
06/04/24;Semangka 24;11
07/04/24;Semangka 24;18
08/04/24;Semangka 24;12
09/04/24;Semangka 24;11
10/04/24;Semangka 24;9
11/04/24;Semangka 24;15
12/04/24;Semangka 24;13
13/04/24;Semangka 24;14
14/04/24;Semangka 24;12
15/04/24;Semangka 24;11
16/04/24;Semangka 24;7
17/04/24;Semangka 24;16
18/04/24;Semangka 24;18
19/04/24;Semangka 24;6
20/04/24;Semangka 24;13
21/04/24;Semangka 24;7
22/04/24;Semangka 24;12
23/04/24;Semangka 24;8
24/04/24;Semangka 24;18
25/04/24;Semangka 24;10
26/04/24;Semangka 24;4
27/04/24;Semangka 24;10
28/04/24;Semangka 24;10
29/04/24;Semangka 24;8
30/04/24;Semangka 24;7
01/05/24;Semangka 24;5
02/05/24;Semangka 24;16
03/05/24;Semangka 24;18
04/05/24;Semangka 24;14
05/05/24;Semangka 24;8
06/05/24;Semangka 24;16
07/05/24;Semangka 24;9
08/05/24;Semangka 24;4
09/05/24;Semangka 24;12
10/05/24;Semangka 24;8
11/05/24;Semangka 24;17
12/05/24;Semangka 24;11
13/05/24;Semangka 24;16
14/05/24;Semangka 24;4
15/05/24;Semangka 24;6
16/05/24;Semangka 24;10
17/05/24;Semangka 24;7
18/05/24;Semangka 24;13
19/05/24;Semangka 24;11
20/05/24;Semangka 24;13
21/05/24;Semangka 24;13
22/05/24;Semangka 24;7
23/05/24;Semangka 24;9
24/05/24;Semangka 24;15
25/05/24;Semangka 24;14
26/05/24;Semangka 24;18
27/05/24;Semangka 24;13
28/05/24;Semangka 24;9
29/05/24;Semangka 24;9
30/05/24;Semangka 24;9
31/05/24;Semangka 24;11
01/06/24;Semangka 24;12
02/06/24;Semangka 24;13
03/06/24;Semangka 24;14
04/06/24;Semangka 24;18
05/06/24;Semangka 24;6
06/06/24;Semangka 24;13
07/06/24;Semangka 24;16
08/06/24;Semangka 24;11
09/06/24;Semangka 24;6
10/06/24;Semangka 24;10
11/06/24;Semangka 24;13
12/06/24;Semangka 24;14
13/06/24;Semangka 24;16
14/06/24;Semangka 24;9
15/06/24;Semangka 24;15
16/06/24;Semangka 24;6
17/06/24;Semangka 24;5
18/06/24;Semangka 24;6
19/06/24;Semangka 24;8
20/06/24;Semangka 24;14
