date;product_name;sum_sales
02/01/24;Semangka 24;1
03/01/24;Semangka 24;0
04/01/24;Semangka 24;2
05/01/24;Semangka 24;2
06/01/24;Semangka 24;3
07/01/24;Semangka 24;0
08/01/24;Semangka 24;0
09/01/24;Semangka 24;3
10/01/24;Semangka 24;3
11/01/24;Semangka 24;0
12/01/24;Semangka 24;5
13/01/24;Semangka 24;2
14/01/24;Semangka 24;0
15/01/24;Semangka 24;1
16/01/24;Semangka 24;1
17/01/24;Semangka 24;0
18/01/24;Semangka 24;2
19/01/24;Semangka 24;2
20/01/24;Semangka 24;1
21/01/24;Semangka 24;0
22/01/24;Semangka 24;2
23/01/24;Semangka 24;3
24/01/24;Semangka 24;3
25/01/24;Semangka 24;2
26/01/24;Semangka 24;0
27/01/24;Semangka 24;3
28/01/24;Semangka 24;0
29/01/24;Semangka 24;0
30/01/24;Semangka 24;0
31/01/24;Semangka 24;1
01/02/24;Semangka 24;1
02/02/24;Semangka 24;1
03/02/24;Semangka 24;0
04/02/24;Semangka 24;0
05/02/24;Semangka 24;0
06/02/24;Semangka 24;0
07/02/24;Semangka 24;2
08/02/24;Semangka 24;2
09/02/24;Semangka 24;1
10/02/24;Semangka 24;0
11/02/24;Semangka 24;0
12/02/24;Semangka 24;2
13/02/24;Semangka 24;3
14/02/24;Semangka 24;0
15/02/24;Semangka 24;0
16/02/24;Semangka 24;1
17/02/24;Semangka 24;1
18/02/24;Semangka 24;2
19/02/24;Semangka 24;0
20/02/24;Semangka 24;1
21/02/24;Semangka 24;2
22/02/24;Semangka 24;1
23/02/24;Semangka 24;0
24/02/24;Semangka 24;2
25/02/24;Semangka 24;2
26/02/24;Semangka 24;3
27/02/24;Semangka 24;2
28/02/24;Semangka 24;1
29/02/24;Semangka 24;2
01/03/24;Semangka 24;0
02/03/24;Semangka 24;0
03/03/24;Semangka 24;0
04/03/24;Semangka 24;1
05/03/24;Semangka 24;0
06/03/24;Semangka 24;0
07/03/24;Semangka 24;0
08/03/24;Semangka 24;6
09/03/24;Semangka 24;1
10/03/24;Semangka 24;4
11/03/24;Semangka 24;0
12/03/24;Semangka 24;2
13/03/24;Semangka 24;5
14/03/24;Semangka 24;2
15/03/24;Semangka 24;7
16/03/24;Semangka 24;4
17/03/24;Semangka 24;2
18/03/24;Semangka 24;0
19/03/24;Semangka 24;6
20/03/24;Semangka 24;0
21/03/24;Semangka 24;6
22/03/24;Semangka 24;3
23/03/24;Semangka 24;4
24/03/24;Semangka 24;0
25/03/24;Semangka 24;3
26/03/24;Semangka 24;3
27/03/24;Semangka 24;3
28/03/24;Semangka 24;1
29/03/24;Semangka 24;0
30/03/24;Semangka 24;2
31/03/24;Semangka 24;2
01/04/24;Semangka 24;2
02/04/24;Semangka 24;3
03/04/24;Semangka 24;3
04/04/24;Semangka 24;4
05/04/24;Semangka 24;0
06/04/24;Semangka 24;2
07/04/24;Semangka 24;2
08/04/24;Semangka 24;2
09/04/24;Semangka 24;1
10/04/24;Semangka 24;0
11/04/24;Semangka 24;0
12/04/24;Semangka 24;0
13/04/24;Semangka 24;0
14/04/24;Semangka 24;0
15/04/24;Semangka 24;2
16/04/24;Semangka 24;6
17/04/24;Semangka 24;1
18/04/24;Semangka 24;2
19/04/24;Semangka 24;0
20/04/24;Semangka 24;4
21/04/24;Semangka 24;0
22/04/24;Semangka 24;0
23/04/24;Semangka 24;4
24/04/24;Semangka 24;3
25/04/24;Semangka 24;0
26/04/24;Semangka 24;3
27/04/24;Semangka 24;0
28/04/24;Semangka 24;2
29/04/24;Semangka 24;1
30/04/24;Semangka 24;1
